ResourceAgencyNum,PublicName,AlternateName,OfficialName,TaxonomyLevelName,ParentAgency,ParentAgencyNum,RecordOwner,UniqueIDPriorSystem,MailingAttentionName,MailingAddress1,MailingAddress2,MailingCity,MailingStateProvince,MailingPostalCode,MailingCountry,MailingAddressIsPrivate,PhysicalAddress1,PhysicalAddress2,PhysicalCity,PhysicalCounty,PhysicalStateProvince,PhysicalPostalCode,PhysicalCountry,PhysicalAddressIsPrivate,OtherAddress1,OtherAddress2,OtherCity,OtherCounty,OtherStateProvince,OtherPostalCode,OtherCountry,Latitude,Longitude,HoursOfOperation,Phone1Number,Phone1Name,Phone1Description,Phone1IsPrivate,Phone1Type,Phone2Number,Phone2Name,Phone2Description,Phone2IsPrivate,Phone2Type,Phone3Number,Phone3Name,Phone3Description,Phone3IsPrivate,Phone3Type,Phone4Number,Phone4Name,Phone4Description,Phone4IsPrivate,Phone4Type,Phone5Number,Phone5Name,Phone5Description,Phone5IsPrivate,Phone5Type,PhoneFax,PhoneFaxDescription,PhoneFaxIsPrivate,PhoneTTY,PhoneTTYDescription,PhoneTTYIsPrivate,PhoneTollFree,PhoneTollFreeDescription,PhoneTollFreeIsPrivate,PhoneNumberHotline,PhoneNumberHotlineDescription,PhoneNumberHotlineIsPrivate,PhoneNumberBusinessLine,PhoneNumberBusinessLineDescription,PhoneNumberBusinessLineIsPrivate,PhoneNumberOutOfArea,PhoneNumberOutOfAreaDescription,PhoneNumberOutOfAreaIsPrivate,PhoneNumberAfterHours,PhoneNumberAfterHoursDescription,PhoneNumberAfterHoursIsPrivate,EmailAddressMain,WebsiteAddress,AgencyStatus,AgencyClassification,AgencyDescription,SearchHints,CoverageArea,CoverageAreaText,Eligibility,EligibilityAdult,EligibilityChild,EligibilityFamily,EligibilityFemale,EligibilityMale,EligibilityTeen,SeniorWorkerName,SeniorWorkerTitle,SeniorWorkerEmailAddress,SeniorWorkerPhoneNumber,SeniorWorkerIsPrivate,MainContactName,MainContactTitle,MainContactEmailAddress,MainContactPhoneNumber,MainContactType,MainContactIsPrivate,LicenseAccreditation,IRSStatus,FEIN,YearIncorporated,AnnualBudgetTotal,LegalStatus,SourceOfFunds,ExcludeFromWebsite,ExcludeFromDirectory,DisabilitiesAccess,PhysicalLocationDescription,BusServiceAccess,PublicAccessTransportation,FeeStructureSource,ApplicationProcess,ResourceInfo,DocumentsRequired,LanguagesOffered,LanguagesOfferedList,AvailabilityNumberOfTimes,AvailabilityFrequency,ServiceNotAlwaysAvailability,CapacityType,ServiceCapacity,NormalWaitTime,AvailabilityPeriod,TemporaryMessage,TemporaryMessageAppears,TemporaryMessageExpires,EnteredOn,UpdatedOn,MadeInactiveOn,InternalNotes,InternalNotesForEditorsAndViewers,HighlightedResource,LastVerifiedOn,LastVerifiedByName,LastVerifiedByTitle,LastVerifiedByPhoneNumber,LastVerifiedByEmailAddress,LastVerificationApprovedBy,AvailableForDirectory,AvailableForReferral,AvailableForResearch,PreferredProvider,ConnectsToSiteNum,ConnectsToProgramNum,LanguageOfRecord,CurrentWorkflowStepCode,Categories,TaxonomyTerm,TaxonomyTerms,TaxonomyTermsNotDeactivated,TaxonomyCodes,Coverage,Hours,Custom_rqa,Max Of rowid,Tax
10598781,ACORN,,,Agency,ACORN,0,,Agency3273,,,,,,,United States,,5319 Mission Street,,San Francisco,San Francisco,CA,94112,United States,,,,,,,,,37.720114,-122.440383,,415-587-9081,Alternate Main,,,,415-587-9080,Main,,,,,,,,,,,,,,,,,,,415-587-1778,,,,,,,,,,,,,,,,,,,,,caacornsfro@acorn.org,www.acorn.org,Inactive,Nonprofit (501(c)(3)),"A community organization of low and moderate income families, working together for social justice and stronger communities",10598781,,,,,,,,,,John Eller,Head Organizer,caacornsfro@acorn.org,,,Lindsay Gebhart,,caacornsfda@acorn.org,,,,,,,,,Nonprofit - Incorporated,Fees; Donations;,No,No,Special arrangements can be made; Not wheelchair accessible at this time;,,"MUNI - 14 Mission, 29 Sunset, 43 Masonic, 52 Excelsior, 88 Bart Shuttle (peak weekday hours)",,,,,,,,,,,,,,,,,,1/25/06,3/30/11,,"Phone numbers and website are not operating 3/18/2011-ON2/10/2010 Re-activated agency for referrals. -DM3/10/2009 Deleted 10 sites that were formerly used for VITA referrals, subsequently moved to UWBA5499 and left to clutter this agency, although none ha",,,7/14/06,,,,,Unspecified Unspecified,,,,0,,,en,,,,,,,,,,173,Benefits Assistance
10596617,ADOPTION CONNECTION,JFCS; Jewish Family and Children's Services;,,Agency,ADOPTION CONNECTION,0,,Agency13,,,,,,,United States,,1710 Scott Street,,San Francisco,San Francisco,CA,94115,United States,,,,,,,,,37.785588,-122.435657,,415-355-4636,Alternate Main,,,,800-972-9225,Birth Parent Toll Free Line,,,,415-359-2492,Domestic Program Inquiries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,families@adoptionconnection.org,www.adoptionconnection.org,Active,Nonprofit (501(c)(3)),"Works with birth parents throughout the United States and adoptive parents in 19 counties in Northern California to complete open, infant adoptions; also licensed to complete international adoption, home study/post-placement and step-parent/domestic partn",10596617,,,,,,,,,,Randie Bencanann,Co-Director,randieb@jfcs.org,,,Leah Sheldon,Community Outreach,leahs@jfcs.org,,,,,,,,,Nonprofit - Incorporated,Grants; United Way; Fees; Donations;,Yes,No,Restroom accessible; All floors accessible; Special arrangements can be made; Building entrance accessible;,,"MUNI - 1 California, 2 Clement,  24 Divisadero, 31 Balboa, 38 Geary",,,,,,,,,,,,,,,,,,7/27/93,8/22/12,,,,,5/4/12,,,,,Unspecified Unspecified,,,,0,,,en,,,,,,,,,,207,Adoption/Foster Care Issues
10595881,ADULT PROTECTIVE SERVICES,,,Agency,ADULT PROTECTIVE SERVICES,0,,Agency11729,,,,,,,United States,No,"1650 Mission Street, 5th Floor",,San Francisco,San Francisco,CA,94103,United States,No,,,,,CA,,United States,37.773969,-122.410448,,415-355-6712,Main,,FALSE,,,,,FALSE,,,,,FALSE,,,,,FALSE,,,,,FALSE,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,Inactive,City and County,Offers emergency food boxes for agency clients. Adult protective services described separately,10595881,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Teresa Guillen,Pantry Contact,,,No,,,,,,No,,None or unknown,,,,Government - City,City; State;,No,No,Restroom accessible; Special parking; Building entrance accessible;,,"MUNI - 14 Mission, 49 Van Ness-Mission",,,,,,,,,,,,,,,,,,11/16/10,9/26/13,9/26/13,This site is not open to anyone per meeting with Food Bank on 9/25/13 tz,,FALSE,5/21/12,,,,,Unspecified Unspecified,,,,0,,,en,,,,,,,,,,209,Food Pantries
10597058,AFRICAN IMMIGRANT AND REFUGEE RESOURCE CENTER,AIRRC;,,Agency,AFRICAN IMMIGRANT AND REFUGEE RESOURCE CENTER,0,,Agency17,,,,,,,United States,,"1290 Fillmore, suite 104",,San Francisco,San Francisco,CA,94115,United States,,,,,,,,,37.785588,-122.435657,,415-433-7300,Main,,,,,,,,,,,,,,,,,,,,,,,,415-433-7308,,,,,,,,,,,,,,,,,,,,,joesciarrillo@airrc.org,,Inactive,Nonprofit (501(c)(3)),"Provides resettlement and integration services to African and non-African immigrants, refugees, asylum seekers and other low-income individuals",10597058,,,,,,,,,,Ashirvadam Rayikanti,Executive Director,,,,Ashirvadam Rayikanti,Executive Director,,,,,,,,,,Nonprofit - Incorporated,Grants; Donations;,No,No,First floor only accessible; Building entrance accessible; Restroom accessible;,,"MUNI - 22 Fillmore, 31 Balboa",,,,,,,,,,,,,,,,,,8/9/99,2/4/11,,"Phone#415-433-7300 has been disconnected.  Per 411, only office on Oakland with phone#510-547-6560 but also disconnected. Agency placed INACTIVE",,,9/26/08,,,,,Unspecified Unspecified,,,,0,,,en,,,,,,,,,,252,Refugees/Entrants/Asylees
10599306,AGUILAS,,,Agency,AGUILAS,0,,Agency3721,,"2261 Market Street, Box 496",,San Francisco,CA,94103,United States,,2095 Harrison  Street,,San Francisco,San Francisco,CA,94110,United States,,,,,,,,,37.748423,-122.413671,,415-558-8403,Main,,,,,,,,,,,,,,,,,,,,,,,,415-558-9709,,,,,,,,,,,,,,,,,,,,,info@aguilas.org,www.sfaguilas.org,Active,Nonprofit (501(c)(3)),"Offers a supportive, culturally sensitive environment for gay/bisexual Latinos to develop programs that promote health, well being and community building",10599306,,,,,,,,,,"Eduardo Morales, Ph.d.",Executive Director,dremorales@aol.com,,,Erick Arguello,Volunteer Coordinator,erick@sfaguilas.org,,,,,,,,,Nonprofit - Incorporated,,No,No,Building entrance accessible;,,"MUNI - 12 Folsom, 22 Fillmore, 33 Stanyan",,,,,,,,,,,,,,,,,,9/28/06,4/27/11,,,,,2/20/09,,,,,Unspecified Unspecified,,,,0,,,en,,,,,,,,,,302,AIDS/HIV Issues
10597271,AIDS EMERGENCY FUND,,,Agency,AIDS EMERGENCY FUND,0,,Agency19,,,,,,,United States,,"12 Grace Street, Suite 300",,San Francisco,San Francisco,CA,94103,United States,Yes,,,,,,,,37.773969,-122.410448,,415-558-6999,Main,,,,,,,,,,,,,,,,,,,,,,,,415-558-6990,,,,,,,,,,,,,,,,,,,,,info@aef-sf.org,www.aidsemergencyfund.org,Active,Nonprofit (501(c)(3)),Provides emergency financial assistance to low-income individuals with a diagnosis of disabling AIDS/HIV,10597271,,,,,,,,,,Mike Smith,Executive Director,mikesmith@aef-sf.org,,,Lee Harrington,Client Services Manager,leeha@aef-sf.org,,,,,,,,,Nonprofit - Incorporated,Federal; Donations;,Yes,No,Building entrance accessible; Restroom accessible; All floors accessible;,,MUNI - All Mission Street lines. BART - Powell Street Station,,,,,,,,,,,,,,,,,,9/16/86,8/22/12,,,,,5/4/12,,,,,Unspecified Unspecified,,,,0,,,en,,,,,,,,,,313,AIDS/HIV
10601388,AIDS HEALTHCARE FOUNDATION AHF HEALTHCARE CENTER MAGIC JOHNSON CLINIC,,,Agency,AIDS HEALTHCARE FOUNDATION AHF HEALTHCARE CENTER MAGIC JOHNSON CLINIC,0,,Agency6080,,,,,,,United States,,100 Church Street,,San Francisco,San Francisco,CA,94114,United States,,,,,,,,,37.758232,-122.436161,,415-552-2814,Main,,,,888-243-7227,Appointments,,,,,,,,,,,,,,,,,,,415-552-2909,,,,,,,,,,,,,,,,,,,,,,www.magicclinics.org,Inactive,Nonprofit (501(c)(3)),Provides a full range of outpatient medical care designed specifically for HIV-positive clients by providers that are knowledgeable of up-to-the-minute developments in HIV medical care,10601388,,,,,,,,,,Michael Weinstein,President,,,,,,,,,,,,,,,Nonprofit - Incorporated,Donations; City; County; Fees;,No,No,Building entrance accessible; Restroom accessible;,,"MUNI - 22 Fillmore, J Church, N Judah",,,,,,,,,,,,,,,,,,11/16/09,11/20/09,,,,,11/20/09,,,,,Unspecified Unspecified,,,,0,,,en,,,,,,,,,,316,AIDS/HIV
10600832,AIDS HOUSING ALLIANCE OF SAN FRANCISCO,,,Agency,AIDS HOUSING ALLIANCE OF SAN FRANCISCO,0,,Agency5458,,,,,,,United States,,350 Golden Gate Avenue,,San Francisco,San Francisco,CA,94102,United States,,,,,,,,,37.779805,-122.417362,,415-552-3242,Main,,,,,,,,,,,,,,,,,,,,,,,,415-756-9940,,,,,,,,,,,,,,,,,,,,,info@ahasf.org,www.ahasf.org,Active,Nonprofit (501(c)(3)),Works to ensure that there are affordable housing and supported employment opportunities in San Francisco for people living with HIV/AIDS,10600832,,,,,,,,,,,,,,,James Nykolay,Office Manager,james.nykolay@ahasf.org,,,,,,,,,Nonprofit - Incorporated,Donations; Independent Fund Raising; County; City; Federal; Grants;,No,Yes,Building entrance accessible; Restroom accessible;,,Muni - All Market Street lines. BART: Civic Center Station,,,,,,,,,,,,,,,,,,12/3/08,5/11/12,,"Note: Per conversation with receptionist, Paul, he will pass the message to contact person. -rt",,,12/31/09,,,,,Unspecified Unspecified,,,,0,,,en,,,,,,,,,,336,Housing Issues
10597482,AIDS LEGAL REFERRAL PANEL,ALRP;,,Agency,AIDS LEGAL REFERRAL PANEL,0,,Agency21,,,,,,,United States,,"1663 Mission Street, Suite 500",,San Francisco,San Francisco,CA,94103,United States,,,,,,,,,37.773969,-122.410448,,415-701-1100,Intake,,,,415-701-1200,Main,,,,,,,,,,,,,,,,,,,415-701-1400,,,,,,,,,,,,,,,,,,,,,info@alrp.org,www.alrp.org,Active,Nonprofit (501(c)(3)),Helps people living with HIV/AIDS resolve their legal issues so they can maintain or improve their health,10597482,,,,,,,,,,Bill Hirsh,Executive  Director,bill@alrp.org,415-701-1200 ext. 308,,Eric Bull,Office Manager,ericb@alrp.org,415-701-1200 ext. 311,,,,,,,,Nonprofit - Incorporated,United Way; City; State; Donations; Independent Fund Raising; Grants;,No,No,Building entrance accessible; Restroom accessible; All floors accessible;,,"MUNI: 14 Mission, 47 Van Ness, 49 Van Ness-Mission",,,,,,,,,,,,,,,,,,5/31/88,8/29/12,,,,,5/8/12,,,,,Unspecified Unspecified,,,,0,,,en,,,,,,,,,,346,AIDS/HIV
10597701,AIDS/HIV NIGHTLINE,Linea Nocturna; AIDS/HIV/Hep C Nightline;,,Agency,AIDS/HIV NIGHTLINE,0,,Agency23,,PO Box 191350,,San Francisco,CA,941191350,United States,No,,,San Francisco,San Francisco,CA,94119,United States,No,,,,,CA,,United States,37.7862,-122.454733,,800-628-9240,Alternate Main,,FALSE,,800-303-7432,Alternate Main,,FALSE,,415-434-2437,Main,,FALSE,,415-989-5212,Alternate Main,,FALSE,,,,,FALSE,,415-227-0247,,FALSE,415-781-2228,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,info@sfsuicide.org,www.sfsuicide.org,Active,Nonprofit (501(c)(3)),Offers telephone support to individuals with AIDS/HIV or Hepatitis C when all other service agencies are closed,10597701,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Marc Anthony Roman,Program Director,marcr@sfsuicide.org,415-288-7109,No,Laura Balch,Program Coordinator,info@sfsuicide.org,415-288-7103,,No,,None or unknown,,,,Nonprofit - Incorporated,Donations; City; County;,No,No,Not necessary for service;,,Not necessary for service,,,,,,,,,,,,,,,,,,6/2/93,2/26/14,,,,FALSE,10/7/11,,,,,Unspecified Unspecified,,,,0,,,en,,,,,,,,,,358,Post Disaster Mental Health Services
