"Organization Name", "Address", "Phone", "Fax", "Email", "Website", "Contact", "Age Groups", "Languages Spoken", "Fees", "Service Hours", "Services Provided"
"Adult Probation Department", "880 Bryant Street, Room 200, San Francisco, CA 94103",  "(415) 553-1706","(415) 553-1770","AdultProbationWebContact@sfgov.org","www.sfgov.org/adultprobation","Sergio Calizo, Supervisor in Domestic Violence","18 years old and older","English, Spanish, interpreters are available","None","Monday ­ Friday, 8:00am - 5:00pm","Adult Probation Department (APD) investigates and supervises adult criminal offenders. APD furnishes offenders with counseling and referrals for rehabilitation. APD also provides information and assistance to crime victims, such as collecting restitution. The Special Services and Community Outreach Division supervises clients through specialized programs and provides referrals to community treatment providers. The Domestic Violence Unit supervises individuals on probation for domestic violence-related offenses. The Criminal Justice Treatment Network for Women provides intensive services to women offenders."
"Agape Community Center", "378 18th Avenue, San Francisco, CA 94121",  "(415) 751-2242","(415) 751-6389","accsf@sbcglobal.net","www.accsf.org","","All","English, Mandarin, Cantonese","None","Varies according to program.","ACC is a nonprofit organization that provides holistic social services and programs to all community members. They offer classes in cooking, baking, floral arrangement, beauty care, arts and crafts, ballroom dancing, Tai-chi, and ping pong; senior programs, a parenting program, citizen classes, and language classes in English and Mandarin."
"AIDS Health Project (UCSF)", "1930 Market Street, San Francisco, CA 94102",  "(415) 476-3902","(415) 476-3655","lori.thoemmes@ucsf.edu","www.ucsf-ahp.org","Lori Thoemmes, Director","18 years old and older","English, German, Spanish, Tagalog","None","Tuesday - Saturday, 8:45am - 5:00pm","AHP is the leading HIV-related mental health agency in San Francisco since 1984, when it helped to pioneer the San Francisco Model of Care. AHP's no-fee and low-fee services include HIV antibody testing, counseling and outreach sites throughout San Francisco, HIV risk reduction counseling, support groups, case management, crisis intervention, mental health assessment, and psychiatric consultation to other providers to help them better serve their clients."
"Alcoholics Anonymous", "1821 Sacramento Street, San Francisco, CA 94109",  "(415) 674-1821 (24/7), Hearing Impaired: Call 711 and ask for (415) 674-1821, Oficina Central Hispania: 415-554-8811","(415) 674-1801","aa@aasf.org, Hearing Impaired: access@aasf.org","www.aasf.org","Maury Polk","All ages","English, Spanish, American Sign Language","None","Monday, 10:00am - 7:00pm; Tuesday ­ Friday, 10:00am - 6:00pm","Alcoholics Anonymous (AA) offers a mutual help program for individuals with a desire to stop drinking. For information on meeting times and places, please call (415) 674-1821."
"American Civil Liberties Union (ACLU)- Friedman Youth Project", "39 Drumm Street, San Francisco, CA 94111",  "(415) 621-2493, Legal Assistance Line: (415) 621-2488, TTY: (415) 863-7832","(415) 255-1478","organizing@aclunc.org","www.aclunc.org/youth/index.shtml","","All ages","English","None","Call for information","The Friedman Youth Project is the youth activism and education program of the ACLU of Northern California. The Project's Youth Activist Committee, which meets year-round, plans an annual youth rights conference and a summer field investigation. The Project coordinates classroom and community presentations on a range of civil liberties topics, arranges an annual retreat for activists, and trains high school teachers to address discrimination."
"American Red Cross Bay Area Chapter", "85 Second Street, 8th Floor, San Francisco, CA 94105",  "(415) 427-8000, 1-888-4-HELP-BAY, 24/7 Emergency Disaster Line: 1 (866) 272-2237","","arcbainfo@usa.redcross.org","www.redcrossbayarea.org","","All","English, Spanish, Chinese, Italian","None","Monday - Friday, 8:00am - 5:00pm","The American Red Cross Bay Area Chapter provides relief to those affected by disasters, and empowers individuals to prevent, prepare for, and respond to emergencies. By helping people in the Bay Area learn how to take care of their families and neighbors, communities are strengthened and more resilient to disasters large and small. The Red Cross fosters a 2,000 person strong volunteer network in the Bay Area, and forms partnerships with hundreds of government agencies, community organizations and businesses. Within their communities, individuals provide training in first aid, CPR and disaster preparedness, while offering support and comfort to families who have lost their homes to disaster."
"Anchor Program", "1701 Ocean Avenue, San Francisco, CA 94112",  "(415) 452-2202","(415) 334-5714","justin.loney@sfdph.org","http://www.bayviewci.org/anchor-program-mental-health-0","Justin Loney","18 years old and older","English","Call for information","Call for information","The Anchor Program provides outpatient psychotherapeutic services using expressive arts therapy, in conjunction with medication support, for adults with developmental disabilities."
"APA Family Support Services (formerly Asian Perinatal Advocates)", "10-12 Nottingham Place, San Francisco, CA 94133",  "(415) 617-0067","(415) 617-0078","info@apafss.org","www.apafss.org","","All ages","Cantonese, Cambodian, English, Japanese, Mandarin, Tagalog, Vietnamese","None","Monday ­ Friday, 8:30am - 5:00pm","APA Family Support Services provides family support and behavioral health interventions for children, age 0-6, who are exposed to violence (child abuse, domestic violence, and community violence) and their families. Multilingual, multicultural, onsite, and in-home counseling and support services address issues of child abuse and neglect, social isolation, cultural shock, family violence, and mental illness. Specific programs include parent education, violence prevention workshops, support groups, a family hotline, and in-home visitation."
"Arab Cultural and Community Center", "2 Plaza Street, San Francisco, CA 94116",  "(415) 664-2200","(415) 664-2280","info@arabculturalcenter.org","www.arabculturalcenter.org","Loubna Qutami, Executive Director","All ages","Arabic, English","None","Monday ­ Friday, 10:00am - 5:00pm","The Women Center of the Arab Cultural and Community Center provides legal referral, counseling, translation, and educational services on survival skills to empower Arab, Middle Eastern and Muslim women. The Center provides education and translational services to victims of domestic violence in the Arab community. They also provide cultural competency training to providers on domestic violence in Arab and Middle Eastern communities. The Center assists women with their transition to a new culture by providing conflict resolution skills, free ESL classes and other essential resources."
"ARC San Francisco", "1500 Howard Street, San Francisco, CA 94103",  "(415) 255-7200, TTY: (415) 268-4023","(415) 255-9488","info@thearcsf.org","www.thearcsf.org","Jacy Cohen, Intake Director of Client Services (415) 255-7200, ext. 151","All ages","Spanish, Russian, Mandarin, Tagalog","None","Monday - Friday, 8:00am - 4:30pm","The ARC San Francisco is a nonprofit service and advocacy organization for adults with autism, down syndrome, cerebral palsy, intellectual and developmental disabilities, and their families, living in San Francisco and San Mateo counties. The ARC provides support that enables people with developmental disabilities to maximize their potential, live meaningful lives, and become integral members of the community. The ARC offers various services including advocacy, community training services, employment services, integrated work services, one- to-one services, recreation and the arts, residential services, seniors services, skills training, and health and wellness services."
"Arriba Juntos", "1850 Mission Street, San Francisco, CA 94103",  "(415) 487-3240","(415) 863-9314","info@arribajuntos.org","www.arribajuntos.org","Amanda Sobrepena, Program Manager, Asobrepena@arribajuntos.org, (415) 487-7832","All ages","English, Spanish","None","Monday ­ Friday, 8:30am - 5:00pm; Evening Classes: 5:00pm - 8:00pm","Arriba Juntos offers low-income residents of San Francisco access to free job listings, reference materials, a summer employment program for 14-25 year olds, ESL training, and education programs for women receiving public assistance. Proyecto Apoyo provides a variety of services to Latina women without permanent housing, including classes on health careers, computer training and Muni training."
"Asian American Recovery Services, Inc.", "2166 Hayes Street, Suite 206, San Francisco, CA 94103",  "(415) 541-9404","(415) 776-1066","s.fields@aars.org","www.aars.org","Stephen Fields","All ages","Cambodian, Cantonese, English, French, German, Japanese, Laotian (Khmmu), Nigerian, Russian, Tagalog","Call for information","Office Hours: Monday - Friday, 9:00am - 5:00pm","Comprehensive Outreach Project for Pacific Islanders and Asian Substance Abusers, 415-541-9404 2166 Hayes Street, Suite 206, San Francisco, CA 94117 COPPASA offers primary and secondary prevention services with API focus, and culturally sensitive support, case management, assessment, referral, advocacy, intervention, health information, family and individual counseling, emotional support, and crisis intervention. Lee Woodward Counseling Center, 415-776-1001 2166 Hayes St, Suite 303, San Francisco, CA 94117 Provides outpatient substance abuse and mental health treatment services to women, with specific outreach to pregnant women and women with children. Therapeutic childcare and group therapy are also offered. Asian Drug Abuse Prevention and Treatment (ADAPT), 415-750-5125 2020 Hayes Street, San Francisco, CA 94117 ADAPT offers comprehensive multi-cultural and multi-lingual outpatient programming that provides an integrated approach to substance abuse and mental health services."
"Asian and Pacific Islander Wellness Center", "730 Polk Street, 4th Floor, San Francisco, CA 94109",  "(415) 292-3400","(415) 292-3404","On website, contact individual staff member","www.apiwellness.org","On website","Youth to Adult","Cantonese, English, Hindi, Ilocano, Japanese, Malay, Mandarin, Tagalog, Vietnamese, Visayan, Interpretation Available","None","General: Monday ­ Friday, 9:30am - 5:30pm; Queer Youth Drop-In Space: Every 2nd and 4th Thursday of each month, 6:00pm ­ 8:00pm","Asian and Pacific Islander Wellness Center aims to educate, support, empower and advocate for Asian and Pacific Islander communities ­ particularly those in the community living with, or at-risk for, HIV/AIDS. A&PI Wellness Center's HIV Care Services provides free and confidential HIV treatment case management, mental health and substance abuse counseling, on-site primary medical and psychiatric care, client and treatment advocacy, and group and individual support to those living with HIV/AIDS. Their HIV/STD Prevention Services reaches youth (heterosexual, homosexual and questioning), gay and bisexual men, and transgender persons through community organizing and outreach, workshops and support groups, peer counseling, and prevention case management. The Center offers testing for HIV, STDs, and hepatitis. The Center also offers support groups, social marketing and health promotion campaigns, community events, internships, and volunteer opportunities."
"Asian Law Caucus", "55 Columbus Avenue, San Francisco, CA 94111",  "(415) 896-1701","(415) 896-1702","angelac@asianlawcaucus.org","www.asianlawcaucus.org","Angela Chan, Staff Attorney","All ages","Cantonese, English, Mandarin, Tagalog, Vietnamese","None","Monday ­ Friday, 9:00am - 12:00pm, 1:00pm - 5:00pm","The Juvenile Justice Project of the Asian Law Caucus provides direct legal representation and know-your-rights education to immigrant families who have youth in the juvenile justice system. Staffed by an attorney who assists limited English proficient (LEP) parents or guardians in the process of navigating through language and culture barriers in the juvenile system. The Project assists youth of color (K- 12) and their parents/guardians with filing state and federal administrative complaints regarding bias-related violence and harassment in public schools."
"Asian Neighborhood Design", "1245 Howard Street, San Francisco, CA 94103",  "(415) 575-0423","(415) 575-0424","info@andnet.org","www.andnet.org","Steve Suzuki, Executive Director","17 and older","English","None","Main office: Monday ­ Friday, 7:30am - 6:00pm","Asian Neighborhood Design assists low-income communities with employment training services. They offer job placement in construction trades, along with job-ready skills once enrolled in the training program. Job training is also offered in carpentry and green construction, including solar PV, weatherization and environmental awareness for low-income, at-risk individuals, age 17 and older. Asian Neighborhood Design constructs spaces for social service providers and assists urban planning efforts aimed at revitalizing neighborhoods. They provide planning and outreach expertise to community organizations."
"Asian Pacific Islander Legal Outreach (APILO)", "1121 Mission Street, San Francisco, CA 94103",  "(415) 567-6255","(415) 567-6248","dliou@apilegaloutreach.org, info@apilegaloutreach.org","www.apilegaloutreach.org","","All ages; 13 ­ 18 years old for Youth Advisory Council (YAC)","Cantonese, Chiu-Chow, Fukinese, Hindi, Ilocano, Japanese, Korean, Lao, Mandarin, Spanish, Tagalog, Taiwanese, Urdu, Vietnamese","None","Monday - Friday, 9:00am - 5:00pm","APILO is a community-based, social justice organization serving the Asian and Pacific Islander communities. It provides legal, social and educational services, including the Youth Advisory Council (YAC) program. The YAC is aimed at educating and reaching out to youth in the API community about domestic and dating violence through interactive workshops and media arts projects. The agency offers legal assistance in the following areas: family law, domestic violence, government benefit analysis, immigration, wills and trusts, consumer advocacy, problems concerning youth and the elderly, and sexual harassment. Those with low- and moderate-income are given first priority."
"Asian Women's Shelter", "3543 18th Street, No. 19, San Francisco, CA 94110",  "(415) 751-7110, 24/7 Crisis Line: (877) 751-0880","(415) 751-0806","info@sfaws.org, hediana@sfaws.org","www.sfaws.org","Orchid Pusey, Interim Executive Director","All ages","Arabic, Cantonese, English, French, German, Hebrew, Japanese, Korean, Mandarin, Portuguese, Russian, Spanish, Tagalog, Thai, Vietnamese, Indonesian, Mongolian","None","Monday ­ Friday, 9:00am - 5:00pm","Asian Women Shelter provides safe and confidential emergency housing to battered Asian women and their children; emergency services including food, clothing, and healthcare; child care services; coordination of support services including counseling, legal assistance, transportation, training, and employment; follow-up services including resources to establish permanent or transitional housing; intensive case management for women and children, which includes individual counseling sessions and individual medical, mental health, and immigration appointments. The Queer Asian Women's Services (QAWS) responds to the experiences and needs of lesbian, bisexual, queer women and transgender survivors of relationship violence. Asian Anti-Trafficking Collaborative (AWS) provides legal and social services to trafficked people, including assistance with visas, shelter, case management, support, interpretation, advocacy, and independent living skills."
"Asian, Inc.", "1167 Mission Street, 4th Floor, San Francisco, CA 94103",  "(415) 928-5910","(415) 921-0182","info@asianinc.org","www.asianinc.org","","All ages","Cambodian, Cantonese, Korean, Tagalog, Vietnamese, Spanish","Sliding scale depending on program","Monday ­ Friday, 9:00am - 5:00pm","Asian, Inc. is a technical assistance and research organization that works to strengthen the infrastructure of the Asian American Community and other minorities in N. California by providing physical, economic and social development. The agency empowers social equality by creating and expanding access to opportunities in the areas of business development, housing and education. Their services include small business assistance, first-time home buyer assistance, foreclosure education & prevention assistance, property management, affordable housing, and verification of women- and minority-owned businesses through the Census Bureau Information Center."
"Aspiranet Foster and Family Services", "400 Oyster Point, Suite 501, South San Francisco, CA 94080",  "(650) 866-4080","(650) 866-4081","info@aspiranet.org, familyrecuiter@aspiranet.org","www.aspiranet.org","Vernon Brown, CEO","All Age","English, Spanish, Tagalog","Call for information","Monday ­ Friday, 9:00am - 5:00pm","Aspiranet recruits and certifies foster homes for children who are dependents of the Court. Services include an adoption program, adoption through foster care, the MOUSE Squad volunteer computer training program, an after-school program, advocacy, community networking, and a sibling connecting initiative that allows separated siblings to reconnect. Aspiranet also provides specialized homes for teen moms and their children, ongoing training and support to foster families, and programs that prepare teens for independent living after leaving the foster care system."
"Back on Track Tutoring", "1399 McAllister Street, San Francisco, CA 94115",  "(415) 346-9316","(415) 346-0268","riseup@backontracksf.org","www.backontracksf.org","Regina Herbert, Membership Coordinator; Renard Allen Jr., Executive Director","Grades K ­ 12","English, other languages depending on availability of tutors","None","Monday, 3:30pm - 5:30pm; Tuesday ­ Thursday, 3:30pm - 5:30pm and 6:00pm - 8:00pm","Back on Track's tutors are carefully screened and trained as volunteers. The program offers free one-on-one tutoring for children ( K-12), once per week. They also offer cultural and academic enrichment activities including field trips, parent workshops, and drop- in math tutoring for children enrolled in the program. Apply online or email (riseup@backontracksf.org) for an application packet."
"Baker Places, Inc.", "1000 Brannan Street, Suite 401, San Francisco, CA 94103",  "(415) 864-4655","(415) 626-2398","info@bakerplaces.org","www.bakerplaces.org","Jonathan Vernick, Executive Director","18 years old and older","English, Spanish, Tagalog","Sliding scale;","Monday ­ Friday, 9:00am - 5:00pm","Baker Places, Inc. operates nine transitional residential facilities for adults with psychological and/or substance abuse problems. Social rehabilitation and therapy are provided. Treatment programs range from 2-6 months in duration. Clients are assisted with independent living after leaving the residential facilities. Acceptance Place serves gay men, Ferguson Place serves individuals with HIV, Grove Street House serves men and women with mental health and substance abuse problems, and Westside Lodge serves monolingual Asian clients with histories of long-term institutionalized and acute crises. Medically supported detoxification and treatment programs are also available."
"Balboa Teen Health Center", "1000 Cayuga Avenue, Room 156, San Francisco, CA 94112",  "(415) 469-4512","(415) 337-2175","Michael_baxter@sfdph.org","http://www.sfdph.org/dph/comupg/oservices/medSvs/hlthCtrs/BalboaT eenHlthCtr.asp","Michael Baxter, Director","12 ­ 18 years old","Chinese, English, Spanish, Tagalog","None","Monday ­ Friday, 8:30am - 5:00pm","Balboa Teen Health Center offers a wide array of services and programs, including treatment for minor illness and injury, sports physicals, immunization and TB tests, nutrition counseling, substance abuse counseling, general health education, chronic disease management, reproductive health care, condoms and birth control, peer health education, pregnancy testing, treatment for STDs, mental health counseling, and support groups."
"Bar Association of San Francisco", "301 Battery Street, Third Floor, San Francisco, CA 94111",  "(415) 982-1600, Lawyer Referral: (415) 989-1616","(415) 477-2388","","www.sfbar.org","Supervising Attorney","All ages","English, Cantonese, Spanish, Mandarin, French, Tagalog","None","Referral Service: Monday ­ Friday, 8:30am - 5:30pm; Administrative Office: 9:00am - 5:00pm","The Volunteer Legal Services Program and the Family Law Project of the Bar Association provides family law legal services to women who have experienced domestic violence. The Bar Association also offers the support and resources necessary for women of low-income backgrounds to make a permanent transition from violence to safety and self-sufficiency for themselves and their children."
"Bay Area Addiction Research & Treatment, Inc.", "BAART MARKET",  "(415) 863-3883","(415) 863-7343","","www.baarthealthcare.org","Nadine Laurent","18 years old and older","Albanian, English, French, Russian, Spanish, Tagalog","Low cost primary Medi-Cal","Monday - Wednesday, Friday, 6:00am -2:00pm; Thursday, 6:00am - 12:00pm; Saturday and Sunday, 8:00am - 12:00pm","Bay Area Addiction Research & Treatment, Inc. (BAART) offers comprehensive substance abuse treatment, specializing in outpatient methadone treatment and detoxification (detox programs range in duration from 21-180 days). Buprenorphine is also available. BAART offers low cost primary care for substance abusers and non- substance abusers, child care while their parent is on-site, and a specialized FACET program for pregnant opiate dependent women. Walk-ins are welcome. 2 Bay Area Locations: BAART TURK: (415) 928-7800 433 Turk St., San Francisco, CA 94102 BAART MARKET: (415) 863-3883 1111 Market St., San Francisco, CA 94103"
"Bay Area Addiction Research & Treatment, Inc.", "1111 Market Street, San Francisco, CA 94103",  "(415) 863-3883","(415) 863-7343","","www.baarthealthcare.org","Nadine Laurent","18 years old and older","Albanian, English, French, Russian, Spanish, Tagalog","Low cost primary Medi-Cal","Monday - Wednesday, Friday, 6:00am -2:00pm; Thursday, 6:00am - 12:00pm; Saturday and Sunday, 8:00am - 12:00pm","Bay Area Addiction Research & Treatment, Inc. (BAART) offers comprehensive substance abuse treatment, specializing in outpatient methadone treatment and detoxification (detox programs range in duration from 21-180 days). Buprenorphine is also available. BAART offers low cost primary care for substance abusers and non- substance abusers, child care while their parent is on-site, and a specialized FACET program for pregnant opiate dependent women. Walk-ins are welcome. 2 Bay Area Locations: BAART TURK: (415) 928-7800 433 Turk St., San Francisco, CA 94102 BAART MARKET: (415) 863-3883 1111 Market St., San Francisco, CA 94103"
"Bay Area Legal Aid", "1035 Market Street, 6th Floor, San Francisco, CA 94103",  "(415) 982-1300, Legal Advice Line: (415) 354-6360, 1-800-551-5554","(415) 982-4243","","www.baylegal.org","Bob Catistrano, Manager","All ages","Cantonese, English, French, Hebrew, Korean, Mandarin, Spanish, Tagalog, Vietnamese, Russian, and others as requested","None","Monday ­ Friday, 9:00am - 12:00pm, 1:00pm - 5:00pm; Legal Advice Line: Monday, Thursday, 9:30am - 3:00pm, Tuesday, Wednesday: 9:30am - 1:00pm","Bay Area Legal Aid's mission is to help individuals escape poverty and to safeguard the basic rights of those who cannot. They specialize in providing expert legal assistance to low-income individuals regarding domestic violence, safe and affordable housing, and health care."
"Bay Area Video Coalition", "2727 Mariposa Street, 2nd Floor, San Francisco, CA 94110",  "(415) 861-3282 (415) 558-2116","(415) 861-4316","info@bavc.org","www.bavc.org","Mindy Aronoff, Director of Training and Resources","All ages","English, Spanish","Fixed charge; no charge for individuals with low income","Main Facility Hours: 7 days/week, 10:00am - 6:00pm","Bay Area Video Coalition (BAVC) is a nonprofit media arts center providing access to training in media technologies, along with free comprehensive vocational training."
"Bay Area Women Against Rape", "470 27th Street, Oakland, CA 94612",  "(510) 430-1298, 24/7 Crisis Line: (510) 845-7273","(510) 430-2579","bawar@bawar.org, info@bawar.org","http://www.bawar.org","","All victims of incest and rape.","Spanish","None","Office: Monday - Friday, 9:00am ­ 5:00pm (Excluding Federal Holidays)","Bay Area Women Against Rape, the nation's first rape crisis center, was formed in 1971 to provide 24-hour comprehensive services for survivors of sexual assault and their significant others. Bay Area Women Against Rape provides confidential and free counseling services to survivors and their family members and friends."
"Bay Area Women's and Children's Center", "318 Leavenworth Street, San Francisco, CA 94102",  "(415) 474-2400","(415) 474-5525","","www.bawcc.org","Midge Wilson, Executive Director","All ages","Cantonese, English, Mandarin, limited Spanish, Vietnamese","None","Office Hours: Monday ­ Friday, 8:30am - 4:00pm; Drop In: Tuesday and Thursday, 8:30am - 12:30pm","Bay Area Women's and Children's Center (BAWCC) focuses entirely on the needs and issues of low-income families, children, and women. BAWCC offers a variety of direct services that address immediate needs and assist with achieving long-term stability. Services for women and families include: Drop-in services: Tuesday and Thursday, 8:30am - 12:30pm; Job related services - by appointment; A Clothes closet - Tuesday and Thursday, 8:30am - 12:30pm; Parent and child program; and a food pantry for Tenderloin families. Other programs include: The Angel Child Program, a gift giving program for Tenderloin children each holiday season; The Tenderloin Family Center at the new Tenderloin Community School; The Tenderloin Scholarship Fund; and general advocacy programs for women, children and families in the Tenderloin."
"Bayanihan Center", "1010 Mission Street, San Francisco, CA 94103",  "(415) 348-8042, (415) 974-0349","","bernadette@bayanihancc.org","http://bayanihancc.org","Bernadett Sy","All","","None","Call for assistance","The Bayanihan Center includes the Veterans Equity Center office, community program space, conference room, and a technology center with 20 computers. Clients are able to access neighborhood information and provide referrals for affordable housing and services available in S.F. Other programs include The Galing Bata After-School Program at the Filipino Education Center at 824 Harrison Street and at Bessie Carmichael Elementary at 375 ­ 7th Street, and a Filipino cultural enrichment after-school program for children in grades K-7. Bayanihan Krew's Bridgin' the Gap Program at the Bayanihan Community Center is an after-school program for youth ages 18-24 years, targeting South of Market high school Filipino immigrant youth. The program facilitates creative writing, hip hop and dance, youth leadership, and employment and career readiness. Meetings are Wednesday and Friday from 4:30pm - 6:30pm. Performances are hosted each quarter."
"BAYSWAN (Bay Area Sex Worker Advocacy Network)", "P.O. Box 210256, San Francisco, CA 94121",  "(415) 751-1659","","info@bayswan.org, penet@bayswan.org","www.bayswan.org","Carol Leigh","18 and older","English, Translation available by request","None for clients, but fees vary for technical assistance and training","Monday - Friday, 10:00am - 6:00pm","BAYSWAN works to improve working conditions, increase benefits, and eliminate discrimination on behalf of individuals working within both legal and criminalized adult entertainment industries. BAYSWAN networks with human rights activists to address the rights violations of sex workers, victims of trafficking, and others who seek the support of authorities in the context of anti-trafficking investigations, enforcement, deportations, and Immigration and Customs Enforcement raids."
