Name of Service or Product,Description,Organization Name,Organization Address,Resource Address,URL,How to Join?,Best Contact,Comments,Demographic Requirements,Languages Offered,Type of Resource,Topic covered: Budgeting,Topic covered: Credit Counseling,Topic covered: Foreclosure,Topic covered: Homeownership,Topic covered: Saving for Education,Topic covered: Small Business,Other Topics,Comments
Juma Student Program,"Juma offers financial aid service, job skills training, part-time Ballpark jobs, a college degree, and much more to hard working students who are enrolled in high school.",Juma Ventures,"131 Steuart Street, Suite 201
San Francisco, CA 94105",,http://www.jumaventures.org,Go online to apply online now.,,,Enrolled in high school,,Financial aid advice,No,No,No,No,Yes,No,,
Education Services,"At LifeOnTrak, our services include credit education, pull credit reports, Budgeting, Debt Management, and much more. ",LifeOnTrak,,,http://lifeontrak.org/,Go to our website to contact us for more information,,,18 and over,,,Yes,Yes,No,No,No,No,,
MY Path,"The MY Path Program at Mission SF is an incentivized youth savings program that familiarizes participants with basic banking skills and valuable financial concepts such as budgeting, savings, and tracking expenses. Al participants in this program are supported in setting short and medium term financial goals which are linked to their personal goals.",MissionSF,"3269 Mission Street
San Francisco, CA 94110",,http://www.missionsf.org,Go to our website to get more information about joining,415-206-0846,,,,Small class,Yes,No,No,No,Yes,No,,
New ERA ,"Neew Economic Rights for All is a youth led organization campaign seeking to adress issues regarding economic rights, financial education, and accessibility to mainstream financial products.",MissionSF,"3269 Mission Street
San Francisco, CA 94110",,http://www.missionsf.org,Sign up online,415-206-0846,,,,Small Classes,Yes,Yes,No,No,No,No,,
Financial Education,"At Money Management International, our financial education program teached individuals the key to successful money management. Our resources are designed to assist you and teach you about money, budgeting, saings, and how to face financial crisis. ",Financial Education International (Money Management),"7677 Oakport St. Ste. 1130
Oakland, CA 94621",,http://www.moneymanagement.org,Visit our website to find out more about our financial education program,866.889.9347,,18 and over,,Online tool,Yes,Yes,Yes,Yes,Yes,No,,
Banking on Our future,"At HOPE, our program Banking on Our future elevates the dignity, hope, and economic self- suddiciency of people in low-income communities through financial literacy. BOOF classes are free for both schools and communities and are led by HOPE Corps voluteers who have undergone comprehensive training in financial literacy and teaching techniques.",Operation HOPE,"3062 East 9th Street
Oakland, California 94601 ",,http://www.operationhope.org,Call to schedule at 510-535-6700,"510-535-6700
or
510-535-6704",,Low-income individuals,,Small classes,Yes,No,No,No,No,No,,
HOPE Financial Dignity Centers,"HOPE Financial Dignity Centers offer financial literacy classes and one-on-one counseling on homeownership, mortgages, forclosure, credit, small business, and more. We help low- income communities to secure loans from local banks and to open in locations where banking is not available to the community.",Operation HOPE,"3062 East 9th Street
Oakland, California 94601 ",,http://www.operationhope.org,Walk-ins at our locatios are welcomed,Call at 510-535-6700,,Low-income communities ,,Small classes and on-on-one counceling ,Yes,Yes,Yes,Yes,No,Yes,,
HOPE Coalition America,"COPE Coalition America is the only financial emergency preparedness and recovery sevice in the country.  We provide financial and economic assistance to those affected by natural disasters. We act to help individuals and families to prepare for disaster and recover in the shortest time possible. Through our HOPE Crisis Hotline and our on-site counseling centers, they help clients recover financially from natural disasters, foreclosures, and other emergencies.",Operation HOPE,"1215 Prytania Street Suite 103
New Orleans, Louisiana 70130 ",,http://www.operationhope.org,"Go online to see upcoming events, walk in to one of our on- site counseling centers, or call out HOPE Crisis Hotline at 888-388-4673",,,,,one-on-one counceling,No,No,Yes,No,No,No,,
Operation HOPE Fellowship and Internship Program,The Operation HOPE Fellowship and Internship Program work to empower and develop the next generation of leaders to pursure careers that will create global economic and social justice. Our program offers exeptional young men and women the opportunity to acquire skills and build vital social networks that will enhance their career and their effectiveness as leaders.,Operation HOPE,,,http://www.operationhope.org,Go online to find out more about current opportunities,,,young men and women,,Internships,No,No,No,No,No,No,Fellowships and Internships,
Classes [SoMa],"In our program at renaissance participants learn the important skills required to run and jump start a small business. We offer both workshop and classes that will teach you how you can expand your business and also adress aspects of starting and developing a small business including marketing, management, finance, and record keeping",Renaissance Entrepreneurship center,"275 5th Steet
San Francisco, California, 94103",,http://www.rencenter.org,Go online to sign up for our nect free orientation workshop,"Paula Connelly, Program Manager
pconnelly@rencenter.org
(415) 348-6248
Antoinette Sanchez, Program Coordinator
antoinette@rencenter.org
(415) 348-6248]
Cristopher Bautista, Program Assistant
cbautista@rencenter.org
(415) 348-6227",,"Small business owner, 18 and over.",Spanish and english,Workshop/ Small class,Yes,No,no,no,no,Yes,,
Business Incubation[SoMa],"At Renaissance Entrepreneurship Center, our business incubator houses over 30 businesses in a supportive entrepreneurial coomunity. We provide low-cost office space which are great for one-on-one cliend meetings and group presentations.",Renaissance Entrepreneurship center,"275 5th Steet
San Francisco, California, 94103",,http://www.rencenter.org,Go online to download our application,"Yamilet Gonzalez, Program Assistant at 415-647-3728 ext. 3728
Tim Russel, Program Coordinator at 650-321-2193 ext.10",,"Small Business owner, 18 and over",Spanish and english,,Yes,no,no,no,no,Yes,,
Financing Resource Center[SoMa],"Renaissance Financing Resource Center is a free prgram that provides financial education, techincal assitance, and acceuss to capital to help small business owners become better managers of their business and understand growth opportunities.",Renaissance Entrepreneurship center,"275 5th Steet
San Francisco, California, 94103",,http://www.rencenter.org,"Contact Gwendolyn Wright
 at 415-348-6222 or email gwen@thewrightconsultants.com",,,"Small business owners, 18 and over",Spanish and english,one-on-one counseling,Yes,no,no,no,no,yes,,
Womens Business Center[SoMa],"Renaissance Women's Business Center provides business training, acess to capital,, access to market and support stratagies that are essential to the successful growth of the new and emerging woman entrepreneurs in the Bay Area.",Renaissance Entrepreneurship center,"275 5th Steet
San Francisco, California, 94103",,http://www.rencenter.org,Sign up for upcoming classes online.,"Paula Connelly, Women's Business Center Director at 415-348-6248",,"Female only, 18 and over",Spanish and english,,Yes,No,No,No,No,Yes,,
Office Space[SoMa],"Our office space program allows small businesses to rent office spaces ranging from $200 a month to $700 a month depending on the size of the office. Some of the services that we include for the tenants includes access to conference rooms, classrooms that holds up to 35 guests, building reception services, and more.",Renaissance Entrepreneurship center,"275 5th Steet
San Francisco, California, 94103",,http://www.rencenter.org,"To learn more or to schedule a tour, call Lisa Kirvin: 415-541-8580; email lisa@rencenter.org",,,"Small business owner, 18 and over",Spanish and english,,Yes,No,No,No,No,Yes,,
Classes[Bayview],"At Renaissance, our classes teaches the basics of opening and starting a small busniess. We provide business planning classes to help participants determine whether their business idea is deasible. Our calsses teach small business owners effective ways to keep your business organized and lessons on keeping track of yout expenses using programs such as Excel. ",Renaissance Entrepreneurship center,"1325-B Evans Avenue
San Francisco, CA 94124",,http://www.rencenter.org,"Contact one of our program
 staff by email at 
yamilet@rencenter.org, 
kharris@rencenter.org,
 or moore@rencenter.org",,,18 and over.,Spanish and english,Workshop/ small classes,Yes,No,No,No,No,Yes,,
Third Street Corridor Program[Bayview],"The Third Street Corridor project (TSCP) is an effort to revitalize the commerical, civic, and cultural center of the Bayview community. TSCP's goal is for 3rd street to become a place where local residents find essential goods and services, earing their livelihood as business owners and employees.",Renaissance Entrepreneurship center,"1325-B Evans Avenue
San Francisco, CA 94124",,http://www.rencenter.org,Call in at 415-647-3728  for information,,,,,,Yes,No,No,No,No,Yes,,
Online,"Renaissance 's online class is an online business prep class that provides the information and guidance to starting and growing a sustainable business. In these classes there will be on-on-on consulations, live class discussions, Deasubility plan for your business and tools for your business success",Renaissance Entrepreneurship center,"1325-B Evans Avenue
San Francisco, CA 94124",,http://www.rencenter.org,"Complete the application
process online","Malik Looper
Email: help@rencenter.org",,"Small business owner, 18 and over",Spanish and english,Small classes,Yes ,no,no,no,no,Yes ,,
Financial Education Workshops,"The Financial Education Workshops that we offer teach individuals about financial planning which include, saving for college, First time home buyer program, and adressing the important investment concerns",San Francisco Federal Credit Union,"2121 N. California Blvd. Suite 395
Walnut Creek, CA 94596",,https://www.sanfranciscofcu.com,To make an appointment call at 415-775-5377 or email contancts@sanfranciscofcu.com,,,Over 18,,Workshops,Yes,Yes,No,Yes,Yes,No,,
Financial Hardship Program,"At SF Federal Credit Union, we offer counseling to those facing financial challenged. We offer counseling for homeowners whose loans have become delinquent and can also help homeowners avoid foreclosure. ",San Francisco Federal Credit Union,"2121 N. California Blvd. Suite 395
Walnut Creek, CA 94596",,https://www.sanfranciscofcu.com,"Contact us at 415.775.5377, 
option 4 or 
lending@sanfranciscofcu.com.",,,Over 18,,Phone Counseling or one-on-one counseling,Yes,No,Yes,No,No,No,,
Managing Your Finances,"At San Frnaicsco Federal Credit Union, we offer a financial fitness program to guide you through achieving financial goals. We offer dinancial couseling by phone, financial education tools, financial worksheets that include downloadable guides for managing your moeny, and more",San Francisco Federal Credit Union,"2121 N. California Blvd. Suite 395
Walnut Creek, CA 94596",,https://www.sanfranciscofcu.com,To speak with a couselor call 888-456-2227,"Contact us at 
415.775.5377, 
option 4 or 
contacts@sanfranciscofcu.com.",,Over 18,,Phone Couseling,Yes,Yes,No,No,No,No,,
Small Business Services,"At the SF LGBT Center, we offer a variety of programs including one-on-one counseling, credit-building, workshops on capital preparation, and small business mentorship.",SF LGBT Center,"1800 Market Street
San Francisco, CA 94102",,http://www.sfcenter.org,Call to Schedule ,415-865-5555,,18 and over,,"Workshops, small class, on-on-one couseling",Yes,Yes,No,No,No,Yes,,
Financial Services ,"The Financial Services offered at the SF LGBT Center inclue credit building microloan programs to help build credit, first-time homebuyer program, and other workshops and programs to help individuals achieve their financial goals.",SF LGBT Center,"1800 Market Street
San Francisco, CA 94102",,http://www.sfcenter.org,Call to Schedule ,415-865-5555,,18 and over,,"Workshops. Small class, one-on-one counseling",Yes,No,No,Yes,No,No,,
Foreclosure Intervention Program,"SFHDC's Foreclosure Intervention Program is to help alleviate the emotional stress experienced by mortgage default home owners and to counsel troubled homeowners in San Francisco Bay Area, who have been severely impacted by the nation's troubled housing market epidemic. Our program specialist work closely with lenders and brokers to negotiate fair and realistic solutions that lead at-risk homeowners to financial stability and to prevent foreclosure. ",SFHDC (San Francisco Housing Development Corporation),"4439 Third Street
San Francisco, CA 94124",,http://www.sfhdc.org/,Make an appointment online,Call at 415-822-1022 ,SFHDC Staff extention available online,Over 18,,one-on-one with foreclosure intervention specialist ,No ,No ,Yes,Yes,No ,No ,,
Financial Fitness Program,"SFHDC's Financial Fitness Program is designed to help families and individuals develop the self-confidence and the self-discipline it takes to purchase a home. Our services are customized to meet the needs of out clients. Our goal is to empower our clients to learn the 3 most important steps to homeownership: Budget, Credit, and savings. Our 8 hour homebuyer education class consist of 4 hours of workshops and 4 hours of counseling. The counseling service will help clients improve their credits, balance their budget, and develop a savings plan. ",SFHDC (San Francisco Housing Development Corporation),"4439 Third Street
San Francisco, CA 94124",,http://www.sfhdc.org/,Complete an online application,Call at 415-822-1022 ,SFHDC Staff extention available online,Over 18,,Workshop and one-on-one counceling,Yes,Yes,No,Yes,No,No,,
City Second Loan Program,"SFDC's City Second Loan Program offers financial assistance to first time home buyers by oroviding no interest, 40 year deferred loan up to $100,000 or 30% of the home purchase price from MOH(Mayor's Office of Housing)",SFHDC (San Francisco Housing Development Corporation),"4439 Third Street
San Francisco, CA 94124","1 South Van Ness, 5th Fl
San Francisco, CA 94103 ",http://sf-moh.org/,Call at 415-822-1022,Call at 415-822-1022,This loan is restricted to units or homes located within selected developments,"First time home buyers, 18 and over",,,Yes,No ,No ,Yes ,No ,No ,,
Mortgage Credit Certificate Program ,"SFHDC's Mortgage Credit Certificate Program can help qualify you for a mortgage loan by increasing your buying power at your current income level. This certificate provides assistance to first-time homebuyers for the purchase of owner-occupied  subgle family homes, town-homes, and condominiums. If eligble it can help reduce the amount of your federal income taxes and allow you to take the appropriate tax credit every year.",SFHDC (San Francisco Housing Development Corporation),"4439 Third Street
San Francisco, CA 94124",,http://www.sfhdc.org/,Call at 415-822-1022,Call at 415-822-1022,,"First time Home Buyers, 18 and over",,,No,No,No,Yes,No,No,Mortgage Loans,
Down-payment Assistance Loan Program,The Down Payment Assistance Program is a down payment assistance loan to low-moderate income first time home buyers in San Francisco purchasing any single family home in the City and County of San Francisco. DALP is a silent second loan that required no payment for 40 years. ,SFHDC (San Francisco Housing Development Corporation),"4439 Third Street
San Francisco, CA 94124","1 South Van Ness, 5th Fl.
San Francisco, CA 94103 ",http://sf-moh.org/,Go online to check Eligibility,(415) 701-5500,Not available for a BMR unit (Below Market Rate or Inclusionary),"Low-moderate income first time homebuyer in San Francisco, 18 and older.",,,Yes,No,No,Yes,No,No,,
Extra Credit Teacher Program,"Teachers, administratiors, staff members, and
classified employees who work in high priority schools across the state (API rank 1-5) may
qualify for low interest rate financing and 
down-payment assistance thought the 
California Housing Finance Agency(CALHFA) 
for the purchase of your first home anywhere 
in California, with in the sale prices and 
income limits established by CALHFA for each
county. ",SFHDC (San Francisco Housing Development Corporation),"4439 Third Street
San Francisco, CA 94124",,http://www.sfhdc.org/,Call at 415-822-1022,Call at 415-822-1022,,"teachers, administrators, staff members and 
classified employees who work in high 
priority schools across the state",,Workshop,Yes,no,no,Yes,no,no,,
Financial Counseling,At single stop out financial couseling program focuses on building lifelong money management skills.,Single Stop,"1825 Park Avenue, Suite 503
New York, NY 10035",,http://www.singlestopusa.org,Walk-ins welcome,212-480-2870 or email at info@singlestopusa.org,,18 and over,,One-on-one counseling,Yes,No,No,No,No,No,,
Tax Preparation,"At Single Stop, we offer free tax preparation services at Single Stop locations by utilizing both site staffs and volunteer tax professionals",Single Stop,"1825 Park Avenue, Suite 503
New York, NY 10035",,http://www.singlestopusa.org,Walk-ins welcome,212-480-2870 or email at info@singlestopusa.org,,18 and over,,One-on-one counseling,No,No,No,No,No,No,Tax Preparation,
Financial Education Workshops,"Skyline College collaborates with SparkPoint and other organizations to provide financial education on topics such as banking products, credit, money management, and more.",SparkPoint Skyline College,"3300 College Dr. 
San Bruno, CA 94066",,http://www.skylinecollege.edu,"walk-ins welcome, Check online to find the next availale workshop",650-738-7035.,,18 and Over,,Workshops,Yes,Yes,No,No,No,No,,
Pay your Bills and Manage Your Credit,"At SparkPoint we will teach you the importance of good credit. We will teach you how to create a balanced household budget, understand your credit score, help you understand your realationship with money and also help avoid foreclosure.",SparkPoint,"2301 Mission Street, Suite 301
San Francisco, CA 94110",,http://sparkpointcenters.org,Walk-ins welcome,415.282.3334 ext. 129,,18 and older,,,Yes,Yes,Yes,No,No,No,,
Increase your income,"Our service at SparkPoint offers free tax preparations to starting a business, to guidance on going back to school. ",SparkPoint,"2301 Mission Street, Suite 301
San Francisco, CA 94110",,http://sparkpointcenters.org,,415.282.3334 ext. 129,,18 and older,,,No,No,No,No,Yes,Yes,,
Build your Savings and Assets,"Our program at SparkPoint can help you learn stratagies to start saving and create a monthly budget. We can Help you save money to pay for education, buy a home,  or to start a business.",SparkPoint,"2301 Mission Street, Suite 301
San Francisco, CA 94110",,http://sparkpointcenters.org,,415.282.3334 ext. 129,,18 and older,,,Yes,No,No,Yes,Yes,Yes,,
Financial Well-Being Project,"The Financial Well-Being Project is a program that provides financial education and coaching to help our clients creat a saving plan for college, buying a home, starting a small business, and more. We also offer asset building to help clients to learn about budgeting, control debt, and much more.",City of South San Francisco,"840 West Orange Ave.
South San Francisco, California",,http://www.ssf.net,Call us at 650-829-3871 to save a seat at our next event,,,18 and over,,Workshops and one-on-one,Yes,Yes,No,Yes,Yes,Yes,,
Tabernacle education program,"These programs are designed to promote continuous learning of many subjects targeting youth to seniors. Programs include workshops and seminars to adress financial literacy, home ownership, budgeting, and much more.",Tabernacle Community Development Corporation,,,http://www.tcdc-sf.org,Walk-ins welcome,"For more information on how to contact us, visit our website at http://www.tcdc-sf.org",,,,Workshops/ Seminars,Yes,No,No,Yes,Yes,No,,
Credit and Housing Counseling,We provide comprehensive financial education through workshops and counseling sessions. We work to increase the financial fitness of our clients. ,Consumer Credit Counseling Service of San Francisco,"595 Market Street, 15th Floor
San Francisco CA 94105",,www.cccssf.org,"Walk-ins welcome, call to schedule an appointment, online counseling, resources online",800-777-7526,,No,"English, Spanish, Cantonese, Mandarin.",Quality Counseling and Financial Education,Yes,Yes,Yes,Yes,Yes,No,"Workshops.  Financial Literacy, Debt Management, ",
Bankruptcy Counseling,,Consumer Credit Counseling Service of San Francisco,"595 Market Street, 15th Floor
San Francisco CA 94105",,,,,,,,,,,,,,,,
Reverse Mortgage Counseling,,Consumer Credit Counseling Service of San Francisco,"595 Market Street, 15th Floor
San Francisco CA 94105",,,,,,,,,,,,,,,,
 First Time Homebuyers Education.,,Consumer Credit Counseling Service of San Francisco,"595 Market Street, 15th Floor
San Francisco CA 94105",,,,,,,,,,,,,,,,
One-on-one Counseling ,,Consumer Credit Counseling Service of San Francisco,"595 Market Street, 15th Floor
San Francisco CA 94105",,,,,,,,,,,,,,,,
Debt Management Consultation,"If you are having trouble keeping up with your bills, our Debt Management Plan (DMP) allows you to make one payment to all your creditors. Your creditors may be willing to stop collection action, lower payments and even reduce or eliminate interest and fees.
Free, confidential consultations with a professional counselor are available weekdays, evenings, and weekends. No matter where you live, we can help. We offer counseling by phone and we pay for the call.
During your hour-long session, your counselor will review your income, expenses and debt in detail in order to determine your best options for becoming debt free.",Consumer Credit Counseling Service of San Francisco,"595 Market Street, 15th Floor
San Francisco CA 94105",,https://www.cccssf.org,"Call us at 800-777-PLAN Monday through Friday between 8 a.m. and 5 p.m. (Pacific Standard Time), or email us and we'll call you back to schedule the appointment. Please include your referral source in your email.
info@cccssf.org
",,,,,One-on-one Counseling,No,Yes,No,No,No,No,"Debt Management, Debt Consolidiation",
FINANCIAL EDUCATION PROGRAM,"MEDAÕs Financial Education & Coaching Program helps low- and moderate-income families reach their financial goals. We offer Spanish and English personal finance workshops and customized one/one coaching to help our clients develop the knowledge, mindset, and habits needed to achieve financial capability and build wealth.",MEDA (Mission Economic Development Agency),"Plaza Adelante
2301 Mission St., Suite 301
San Francisco, CA 94110",,medasf.org,Call/email to [1] enroll in the monthly financial education workshop; [2] attend the workshop; [3] set one/one coaching appointment ,financialeducation@medasf.org,,Low- moderate-income individuals over 18,"Spanish, English","Small group workshops, one-on-one personal finance coaching; access to financial products through community partners",Yes,Yes,No,No,Yes,No,Financial goal-setting; debt reduction,
HOMEOWNERSHIP PROGRAM,"MEDAÕs Homeownership program provides one-on-one counseling sessions and group workshop curriculum in both Spanish and English. We offer homeownership related services including financial education, credit counseling, information on down payment and closing costs assistance programs, affordable housing options, and foreclosure intervention counseling. Homeowners also learn how to protect themselves from predatory lenders and counselors conduct loan document reviews. MEDA is a HUD Approved Housing Counseling agency and a member of the local collaborative known as Homeownership SF, which strongly advocates and supports affordable housing.",MEDA (Mission Economic Development Agency),"Plaza Adelante
2301 Mission St., Suite 301
San Francisco, CA 94110",,medasf.org,Call/email to [1] enroll in the monthly financial education workshop; [2] attend the workshop; [3] set one/one coaching appointment ,homeownership@medasf.org,,Low- moderate-income individuals over 18,"Spanish, English","Small group workshops, one-on-one counseling",Yes,Yes,Yes,Yes,No,No,,
BUSINESS DEVELOPMENT PROGRAM,"MEDA's business development program helps entrepreneurs in San Francisco to start and expand their businesses. We provide services through individual consultations and group workshops, in both English and Spanish. MEDA consultants offer expertise on access to capital, business assessment, business planning, financial projections, budgeting, marketing, lease consultation, and services tailored specifically to family childcare providers in San Francisco.",MEDA (Mission Economic Development Agency),"Plaza Adelante
2301 Mission St., Suite 301
San Francisco, CA 94110",,,,business@medasf.org,,"Entrepreneurs must be meet income eligibility requirements (low- moderate-income individuals over 18) and own (or plan to own) a microenterprise in San Francisco. A microenterprise is defined as a business with five employees or less, including the owner(s). ","Spanish, English","Small group workshops, one-on-one counseling",Yes,Yes,No,No,No,Yes,,
TAX PREPARATION PROGRAM,MEDAÕs VITA Site Free Tax Preparation Program serves low-income families in San Francisco by providing free tax return preparation year round; benefits screening; and self-employed tax education. MEDA also offers  ITIN application services and free assistance to low-income and Spanish-speaking students in completing the Free Application for Student Aid (FAFSA).,MEDA (Mission Economic Development Agency),"Plaza Adelante
2301 Mission St., Suite 301
San Francisco, CA 94110",,,,tax@medasf.org,,,"Spanish, English","Small group workshops, one-on-one counseling; access to financial products through community partners",No,No,No,No,Yes,No,,
Lending Circle Program,"MAF's lending circle program are zero- free and interest credit building social laons for low- income community members. Now those with no credit scores or damaged credit scores can now join a lending circle that builds credit, with an average score increase of 168 point. A positive credit history opens the door to many financial opportunities",MAF (Mission Asset Funding),"1470 Valencia Street
San Francisco, California, 94110",,http://missionassetfund.org/programs,Call us at (888)274-4808 Monday- Friday from 9AM to 5PM (Pacific Standard Time) or email us at info@missionassetfund.org,info@missionassetfund.org,,Low- income commmunity members,,Small group (Low-income communities band together to find a workable solution),Yes,Yes,No,No,No,No,,
