Agency Name,Program Name,Strategy,Lead Agency Address,Lead Agency District,Lead Agency Zip,Site Name,Site Address,Site Zip,Site Phone,Site District,Site Location,Site School,0-5,'6-13,14-17,Parent,18-21,22-25,18-24,English,Spanish,Mandarin,Cantonese,Korean,Vietnamese,Russian,Filipino (Tagalog),Language Other
Arab Cultural & Community Center,ACCC After-School Tutoring Program,Comprehensive K-8 Community-Based Afterschool,2 Plaza Street,District 7,94116,Mercy Housing,111 Jones Street,94102,415-474-2680,6,Public or affordable housing site,,X,X,X,X,,,,X,,,,,,,,Arabic
Arab Cultural & Community Center,ACCC Youth Empowerment Program,Specialized Teen,2 Plaza Street,District 7,94116,Mission High School,3750 18th Street,94114,(415) 241-6240,8,Public School,Mission High School (9-12),,,X,,,,,X,,,,,,,,Arabic
Arab Cultural & Community Center,ACCC Youth Empowerment Program,Specialized Teen,2 Plaza Street,District 7,94116,Raoul Wallenberg High School,40 Vega Street,94115,(415) 749-3469,5,Public School,"Wallenberg, Raoul High School (9-12)",,,X,,,,,X,,,,,,,,Arabic
Architectural Foundation of San Francisco,Build San Francisco,Career Awareness,"901 Mission Street, Suite 110",District 6,94103,Architecturral Foundation of San Francisco,"901 Mission Street, Suite 110",94103,415-393-1492,6,Non-profit's owned or leased space (not faith-based),,,,X,,,,,X,X,X,X,X,X,,X,
Architectural Foundation of San Francisco,Build San Francisco,Career Awareness,"901 Mission Street, Suite 110",District 6,94103,Independence High School,1350 7th Avenue,94122,415-242-5000,5,Public School,Independence High School (9-12),,,X,,,,,X,X,X,X,X,X,,X,
Arriba Juntos,Kalpulli Leadership Program,Specialized Teen,1850 Mission Street,District 9,94103,HOMEY Peace Center,"1337 Mission Street, Second Floor",94110,415.861.1600,6,Non-profit's owned or leased space (not faith-based),,,,X,,,,,X,X,,,,,,,
Arriba Juntos,Youth 1st Afterschool Program,Comprehensive K-8 Community-Based Afterschool,1850 Mission Street,District 9,94103,Merced Heights Playground,801 Shield Street,94132,415-334-7418,11,SF Recreation and Park facility,,X,X,,,,,,X,X,,,,,,,
Arriba Juntos,Youth 1st Summer Enrichment,Comprehensive K-8 Summer Learning,1850 Mission Street,District 9,94103,Merced Heights Playground,801 Shields Street,94132,415-337-4718,11,SF Recreation and Park facility,,X,X,X,,,,,X,X,,,,,,,
Arriba Juntos,Youth Workforce,Youth Workforce Development,1850 Mission Street,Unassigned,94103,Arriba Juntos,1850 Mission St,94103,415-487-3240,6,Non-profit's owned or leased space (not faith-based),,,,X,,X,,,X,X,X,X,,,,X,
Arriba Juntos,Youth Workforce,Youth Workforce Development,1850 Mission Street,Unassigned,94103,Career Link Center,3120 Mission Street,94110,415-401-4931,9,Non-profit's owned or leased space (not faith-based),,,,X,,X,,,X,X,X,X,,,,X,
Aspiranet,Summer EXCEL @ Ulloa Elementary School,EXCEL Match Summer,3151 Ortega Street,District 4,94122,APG Middle School,3151 Ortega Street,94122,415-242-2559,4,Public School,"Giannini, A.P. Middle School (6-8)",,X,,,,,,X,X,X,X,,X,,,
Aspiranet,Sunset Media Wave,Specialized Teen,3925 Noriega Street,District 4,94122,Sunset Neighborhood Beacon Center,3925 Noriega Street,94122,415-759-3690,4,Non-profit's owned or leased space (not faith-based),,,,X,,,,,X,,X,X,,,,,
Aspiranet,Sunset Neighborhood Beacon Center,Beacons,3925 Noriega Street,District 4,94122,SNBC Community Storefront,3925 Noriega Street,94122,415-759-3690,4,Non-profit's owned or leased space (not faith-based),,X,X,X,X,,,,X,X,X,X,,X,,X,
Aspiranet,Sunset Neighborhood Beacon Center,Beacons,3925 Noriega Street,District 4,94122,A.P. Giannini Middle School,3151 Ortega Street,94122,415-242-2559,4,Public School,"Giannini, A.P. Middle School (6-8)",,X,X,X,,,,X,X,X,X,,X,,X,
Aspiranet,Sunset Neighborhood Beacon Center,Beacons,3925 Noriega Street,District 4,94122,Francis Scott Key Elementary,1530 43rd Avenue,94122,415-759-2811,4,Public School,"Key, Francis Scott Elementary (K-5)",X,X,,,,,,X,X,,X,,X,,,
Aspiranet,Sunset Neighborhood Beacon Center,Beacons,3925 Noriega Street,District 4,94122,Sunset Elementary,1920 41st Avenue,94122,415-759-2760,4,Public School,Sunset Elementary School (K-5),X,X,,,,,,X,X,X,X,,X,,,
Aspiranet,Sunset Neighborhood Beacon Center,Beacons,3925 Noriega Street,District 4,94122,Robert Louis Stevenson,2051 34th Avenue,94122,415-759-2837,4,Public School,"Stevenson, Robert Louis Elementary School (K-5)",,X,,,,,,X,X,,X,,,,,
Aspiranet,Sunset Neighborhood Beacon Center,Beacons,3925 Noriega Street,District 4,94122,Ulloa Elementary,2650 42nd Avenue,94116,415-759-2841,4,Public School,Ulloa Elementary School (K-5),X,X,,,,,,X,X,,X,,,,,
Aspiranet,SY EXCEL @ Francis Scott Key Elementary School,ExCEL Match School Year,1530 43rd Avenue,Unassigned,94122,FSK Elementary,1530 43rd Avenue,94122,415-759-3403,4,Public School,"Key, Francis Scott Elementary (K-5)",X,X,,,,,,X,X,X,X,,X,,,
Aspiranet,SY EXCEL @ Robert Louis Stevenson Elementary School,ExCEL Match School Year,3925 Noriega Street,District 4,94122,Robert Louis Stevenson Elementary,2051 34th Avenue,94116,415-759-2837,4,Public School,"Stevenson, Robert Louis Elementary School (K-5)",,X,,,,,,X,X,,X,,,,,
Aspiranet,SY EXCEL @ Sunset Elementary School,ExCEL Match School Year,3925 Noriega Street,District 4,94122,Sunset Elementary,1920 41st Avenue,94116,415-759-2760,4,Public School,Sunset Elementary School (K-5),X,X,,,,,,X,X,X,X,,X,,,
Aspiranet,SY EXCEL @ Ulloa Elementary School,ExCEL Match School Year,3925 Noriega Street,District 4,94122,Ulloa Elementary,2650 42nd Avenue,94116,415-759-2841,4,Public School,Ulloa Elementary School (K-5),,X,,,,,,X,X,X,X,,X,,,
Aspiranet,West Sunset Rec Connect K-8 Afterschool Program,Comprehensive K-8 Community-Based Afterschool,3925 Noriega Street,District 4,94122,West Sunset Rec Connect,3223 Ortega Street,94116,415-753-7047,4,SF Recreation and Park facility,,,X,X,,,,,X,X,,,,,,,
Bay Area Community Resources,Home Away School House Comprehensive Services,Comprehensive K-8 Community-Based Afterschool,171 Carlos Drive,Unassigned,94903-2005,Home Away from Homelessness School House,"Building #33, Ft. Mason, SF, CA",94123,415-561-4603,2,Non-profit's owned or leased space (not faith-based),,,X,X,,,,,X,X,,,,,,,
Bay Area Community Resources,Mission Education Center Summer Program,Comprehensive K-8 Summer Learning,1670 Noe Street,District 8,94131,Mission Education Center,1670 Noe Street,94131,(415) 695-5313,8,Public School,Mission Education Center Elementary School (K-5),X,X,,,,,,X,X,,,,,,,
Bay Area Community Resources,ReSET - Work Experience for High Risk Youth,Youth Workforce Development_JJSI,"965 Mission Street, Suite 520",District 6,94103,CHALK,965 Mission St Suite 520,94103,415-977-69449,6,Non-profit's owned or leased space (not faith-based),,,,X,,X,,X,X,X,,,,,,,
Bay Area Community Resources,SF Team at Bret Harte Elementary,SFTEAM_NEW,1035 Gilman Avenue,District 10,94124,,,,,,,,,,,,,,,,,,,,,,,
Bay Area Community Resources,Summer ExCEL @ Guadalupe Elementary,EXCEL Match Summer,859 Prague Street,District 11,94112,Guadalupe Elementary,"859 Prague Street, San Francisco, CA, 94112",94112,650-888-3561,11,Public School,Guadalupe Elementary School (K-5),,X,,,,,,X,X,X,X,,,,X,
Bay Area Community Resources,Summer EXCEL @ Junipero Serra Elementary,EXCEL Match Summer,625 Holly Park Circle,District 9,94110,Junipero Serra School,"625 Holly Park Circle, San Francisco, CA",94110,415-572-5584,9,Public School,"Serra, Junipero Elementary School (K-5)",,X,,,,,,X,X,X,X,,,,X,
Bay Area Community Resources,Summer ExCEL @ Lakeshore Elementary,EXCEL Match Summer,220 Middlefield Drive,District 7,94132,Lakeshore Elementary,220 Middlefield Drive,94132,(415) 759-2825,7,Public School,Lakeshore Elementary School (K-5),X,X,,,,,,X,X,X,X,,,,,
Bay Area Community Resources,Summer EXCEL @ Longfellow Elementary,EXCEL Match Summer,755 Morse Street,District 8,94112,Longfellow Elementary,755 Morse Street,94112,(415) 469-4730,11,Public School,Longfellow Elementary School (K-5),X,X,,,,,,X,X,X,X,,,,X,
Bay Area Community Resources,Summer ExCEL @ Sanchez Elementary,EXCEL Match Summer,325 Sanchez,District 8,94114,Sanchez Elementary School,325 Sanchez,94114,415-241-6380,8,Public School,Sanchez Elementary School (K-5),,X,,,,,,,X,X,X,,,,,Arabic
Bay Area Community Resources,Summer ExCEL @ SF Community School,EXCEL Match Summer,125 Excelsior Avenue,District 11,94122,SF Community at Alvarado Elementary,625 Douglass Street,94114,(415) 695-5695,8,Public School,Alvarado Elementary School (K-5),X,X,,,,,,X,X,,,,,,,
Bay Area Community Resources,SY EXCEL @ Alvarado Elementary,ExCEL Match School Year,625 Douglass Street,District 8,94114,Alvarado Elementay,625 Douglas Street,94114,415 695-5695,8,Public School,Alvarado Elementary School (K-5),X,X,,,,,,X,X,,,,,,,
Bay Area Community Resources,SY EXCEL @ Bret Harte Elementary,ExCEL Match School Year,1035 Gilman Street,District 10,94124,Bret Harte Elementary,1035 Gilman Avenue,94124,(415) 330-1520,10,Public School,"Harte, Bret Elementary School (K-5)",X,X,,,,,,X,X,X,X,,,,,
Bay Area Community Resources,SY EXCEL @ Cleveland Elementary,ExCEL Match School Year,455 Athens Street,District 11,94112,Cleveland Elementary,455 Athens Street,94112,(415) 469-4709,11,Public School,Cleveland Elementary School (K-5),X,X,,,,,,X,X,,,,,,X,
Bay Area Community Resources,SY EXCEL @ E.R. Taylor Elementary,ExCEL Match School Year,423 Burrows Street,District 9,94134,ER Taylor Elementary,423 Burrows Street,94134,(415) 330-1530,9,Public School,"Taylor, E.R. Elementary School (K-5)",X,X,,,,,,X,X,X,X,,,,,
Bay Area Community Resources,SY EXCEL @ Guadalupe Elementary,ExCEL Match School Year,859 Prague Street,District 11,94112,Guadalupe Elementary,859 Prague,94112,650-888-3561,11,Public School,Guadalupe Elementary School (K-5),,X,,,,,,X,X,X,X,,,,X,
Bay Area Community Resources,SY EXCEL @ Junipero Serra Elementary,ExCEL Match School Year,625 Holly Park Circle,Unassigned,94110,Junipero Serra After School,625 Holly park Circle,94110,415 695-5685,9,Public School,"Serra, Junipero Elementary School (K-5)",X,X,,,,,,X,X,X,X,X,,,,
Bay Area Community Resources,SY EXCEL @ Lakeshore Elementary,ExCEL Match School Year,220 Middlefield Drive,District 7,94132,Lakeshore Elementary,220 Middlefield Drive,94132,(415) 759-2825,7,Public School,Lakeshore Elementary School (K-5),X,X,,,,,,X,X,X,X,,,,,
Bay Area Community Resources,SY EXCEL @ Longfellow Elementary,ExCEL Match School Year,755 Morse Street,District 11,94112,Longfellow Elementary,755 Morse Street,94112,650-271-2102,11,Public School,Longfellow Elementary School (K-5),,X,,,,,,X,X,X,X,,,,X,
Bay Area Community Resources,SY EXCEL @ Mission Education Center,ExCEL Match School Year,1670 Noe Street,District 8,94131,Mission Education,1670 Noe Street,94131,(415) 695-5313,8,Public School,Mission Education Center Elementary School (K-5),X,X,,,,,,X,X,,,,,,,
Bay Area Community Resources,SY EXCEL @ Sanchez Elementary,ExCEL Match School Year,325 Sanchez,District 8,94114,Sanchez Elementary,325 Sanchez,94114,415-528-0921,8,Public School,Sanchez Elementary School (K-5),,X,,,,,,X,X,,,,,,,Arabic
Bay Area Community Resources,SY EXCEL @ SF Community School,ExCEL Match School Year,125 Excelsior Street,District 11,94112,SF Community School,125 Excelsior Avenue,94112,(415) 469-4739,11,Public School,S.F. Community (K-8),X,X,,,,,,X,X,X,X,,X,,X,
Bay Area Community Resources,SY EXCEL @ Sunnyside Elementary,ExCEL Match School Year,250 Foerster Street,District 7,94112,Sunnyside Elementary School,250 Foerster Street,94112,415-469-4746,7,Public School,Sunnyside Elementary School (K-5),,X,,,,,,X,X,X,X,,X,,X,Burmese
Bay Area Community Resources,YFYI Youth Philanthropy,Youth Led Philanthropy,"965 Mission Street, Suite 520",District 6,94103,CHALK,965 Mission St Suite 520,94103,415.977.6949,6,Non-profit's owned or leased space (not faith-based),,,,X,,,,,X,X,,X,,,,,
Bay Area Community Resources,Youthline IT & Digital Media Work Experience,Youth Workforce Development,"965 Mission Street, Suite 520",District 6,94103,CHALK,965 Mission St Suite 520,94103,415.977.6949,6,Non-profit's owned or leased space (not faith-based),,,,X,,X,,,X,X,,,,,,,
Bay Area Video Coalition,Digital Pathways,Specialized Teen,"2727 Mariposa, 2nd Floor",District 9,94110,Bay Area Video Coalition,"2727 Mariposa, 2nd Floor",94110,415-861-3282,9,Non-profit's owned or leased space (not faith-based),,,X,X,,,,,X,X,X,X,X,X,,X,"Burmese, Arabic"
BAYCAT,Youth Powered Digital Media K-8,Specialized K-8,"2415 3rd Street, Suite 230",District 10,94107,BAYCAT,"2415 3rd Street, Suite 230",94107,415-701-8228,10,Non-profit's owned or leased space (not faith-based),,,X,,,,,,X,X,X,,,,,X,French
BAYCAT,Youth Powered Media- Specialized Specialized Teen,Specialized Teen,"2415 3rd Street, Suite 230",District 10,94107,BAYCAT,"2415 3rd Street, Suite 230",94107,415-701-8228,10,Non-profit's owned or leased space (not faith-based),,,,X,,,,,X,X,X,,,,,X,French
Bayview Association For Youth,100% College Prep Institute,Specialized Teen,1201 MENDELL ST.,District 10,94124,100% @ Mendell,1201 Mendell Street,94124,415-550-9455,10,Non-profit's owned or leased space (not faith-based),,,X,X,X,,,,X,X,X,X,,,,,
Bayview Association For Youth,100% College Prep Institute at Alice Griffith Housing Development,Specialized K-8,1201 Mendell St.,District 10,94124,100% @ AG,2400 Fitzgerald street,94124,415-550-9455,10,Public or affordable housing site,,,X,,,,,,X,,,,,,,,
Bayview Hunters Point Foundation,Aftercare/Aftercare/ Reentry Gender Responsive (Case Management),Aftercare/ Reentry,"150 Executive Park Bvd., Suite 2800",District 10,94134,Bayview Youth Services,5815 Third Street,94124,415-822-1585,10,Non-profit's owned or leased space (not faith-based),,,,X,,X,X,,X,X,,,,,,,
Bayview Hunters Point Foundation,Bayview Evening Reporting Center (ERC),Detention Alternatives,"150 Executive Park Blvd., Suite 2800",District 10,94134,Bayview Hunters Point Youth Services,5015 Third Street,94124,415-822-1585,10,Non-profit's owned or leased space (not faith-based),,,X,X,,X,,,X,X,,,,,,,
Bayview Hunters Point Foundation,Community Response Network,Community Response Network,"150 Executive Park Blvd., Suite 2800",District 10,94134,Community Response Network,2610 Bayshore Blvd.,94134,415-586-6616,10,Non-profit's owned or leased space (not faith-based),,,,X,,X,X,,X,,,,,,,,
Bernal Heights Neighborhood Center,Community Public Safety Program,Miscellaneous,515 Cortland Avenue,District 9,94110,Bernal Heights Neighborhood Center,515 Cortland Avenue,94110,415 206 2140,9,Non-profit's owned or leased space (not faith-based),,X,X,X,X,,,,X,X,X,X,,,,X,
Bernal Heights Neighborhood Center,Community Public Safety Program,Miscellaneous,515 Cortland Avenue,District 9,94110,Excelsior Community Center,4468 Mission Street,94112,415 206 2140,11,Non-profit's owned or leased space (not faith-based),,X,X,X,X,,,,X,X,X,X,,,,X,
Bernal Heights Neighborhood Center,Excelsior Community Center -Youth Development and Empowerment Program,Specialized Teen,515 Cortland Avenue,District 11,94110,Excelsior Community Center,4468 Mission Street,94112,415 206 2140,11,Non-profit's owned or leased space (not faith-based),,,,X,,,,,X,X,X,X,,,,X,
Board of Trustees of the Glide Foundation,Glide Afterschool Program,Comprehensive K-8 Community-Based Afterschool,330 Ellis Street,District 6,94102,"Janice Mirikitani Family, Youth and Childcare Center",434 Ellis Street,94102,415-674-6200,6,Non-profit's owned or leased space (not faith-based),,X,X,,,,,,X,X,,X,,,,,
Board of Trustees of the Glide Foundation,Glide Summer Program,Comprehensive K-8 Summer Learning,330 Ellis Street,District 6,94102,"Janice Mirikitani Family, Youth and Childcare Center",434 Ellis Street,94102,415-674-6200,6,Non-profit's owned or leased space (not faith-based),,X,X,,,,,,X,X,,X,,,,,
Booker T. Washington Community Service Center,Booker T. Washington K-8 After School Program,Comprehensive K-8 Community-Based Afterschool,800 Presidio Ave.,District 5,94115,Booker T. Washington CSC,800 Presidio Ave.,94115,415-928-6596,5,Non-profit's owned or leased space (not faith-based),,,X,X,X,,,,X,X,X,X,X,X,X,X,
Booker T. Washington Community Service Center,Booker T. Washington K-8 Summer Program,Comprehensive K-8 Summer Learning,800 Presidio Ave.,District 5,94115,Booker T. Washington CSC,800 Presidio Ave.,94115,4159286596,5,Non-profit's owned or leased space (not faith-based),,,X,X,,,,,X,X,X,X,X,X,X,X,
Booker T. Washington Community Service Center,Specialized Specialized Teen Program,Specialized Teen,800 Presidio Ave.,District 5,94115,Booker T. Washington CSC,800 Presidio Ave.,94115,415-928-6596,5,Non-profit's owned or leased space (not faith-based),,,X,X,,,,,X,X,X,X,X,X,X,X,
Boys & Girls Clubs of San Francisco,"BGCSF - Mission Prevention Case Management, Referral & Enrichment",Secondary Prevention,450 Guerrero Street,District 8,94110,Columbia Park Boys & Girls Club,450 Guerrero Street,94110,415-983-3901,8,Non-profit's owned or leased space (not faith-based),,,X,X,,X,,,X,X,,,,,,,
Boys & Girls Clubs of San Francisco,Boys & Girls Clubs Specialized Specialized Teen Program,Specialized Teen,55 Hawthorne Street,District 6,94104,Columbia Park Boys & Girls Club,450 Guerrero Street,94110,415-983-3901,8,Non-profit's owned or leased space (not faith-based),,,,X,,,,,X,X,X,X,,,,,
Boys & Girls Clubs of San Francisco,Boys & Girls Clubs Specialized Specialized Teen Program,Specialized Teen,55 Hawthorne Street,District 6,94104,Ernest Ingold Boys & Girls Club,1950 Page Street,94117,415-2216100,5,Non-profit's owned or leased space (not faith-based),,,,X,,,,,X,X,,,,,,,
Boys & Girls Clubs of San Francisco,Boys & Girls Clubs Specialized Specialized Teen Program,Specialized Teen,55 Hawthorne Street,District 6,94104,Excelsior Boys & Girls Club,163 London Street,94112,415-334-2582,11,Non-profit's owned or leased space (not faith-based),,,,X,,,,,X,X,,,,,,,
Boys & Girls Clubs of San Francisco,Boys & Girls Clubs Specialized Specialized Teen Program,Specialized Teen,55 Hawthorne Street,District 6,94104,Mission Boys & Girls Club,901 Alambama,94110,415-400-8900,9,Non-profit's owned or leased space (not faith-based),,,,X,,,,,X,X,,,,,,,
Boys & Girls Clubs of San Francisco,Boys & Girls Clubs Specialized Specialized Teen Program,Specialized Teen,55 Hawthorne Street,District 6,94104,Tenderloin Boys & Girls Club,115 Jones Street,94102,415-351-3125,6,Public or affordable housing site,,,,X,,,,,X,,X,X,,,,X,German
Boys & Girls Clubs of San Francisco,Boys & Girls Clubs Specialized Specialized Teen Program,Specialized Teen,55 Hawthorne Street,District 6,94104,Willie Mays Boys & Girls Club at Hunter Point,195 Kiska Road,94124,415-655-5160,10,Public or affordable housing site,,,,X,,,,,X,,,,,,,,
Boys & Girls Clubs of San Francisco,Columbia Park Boys & Girls Club K-8 Afterschool Program,Comprehensive K-8 Community-Based Afterschool,450 Guerrero Street,District 8,94110,Columbia Park Boys & Girls Club,450 Guerrero Street,94110,415-983-3901,8,Non-profit's owned or leased space (not faith-based),,,X,,,,,,X,X,X,X,,,,,
Boys & Girls Clubs of San Francisco,Columbia Park Boys & Girls Club K-8 Summer Learning Program,Comprehensive K-8 Summer Learning,450 Guerrero Street,District 8,94110,Columbia Park Boys & Girls Club,450 Guerrero Street,94110,415-983-3901,8,Non-profit's owned or leased space (not faith-based),,,X,,,,,,X,X,X,X,,,,,
Boys & Girls Clubs of San Francisco,Ernest Ingold Boys & Girls Club K-8 Afterschool Program,Comprehensive K-8 Community-Based Afterschool,1950 Page Street,District 5,94117,Ernest Ingold Boys & Girls Club,1950 Page Street,94117,415-221-6100,5,Non-profit's owned or leased space (not faith-based),,,X,,,,,,X,X,X,X,,,,,
Boys & Girls Clubs of San Francisco,Ernest Ingold Boys & Girls Club K-8 Summer Learning Program,Comprehensive K-8 Summer Learning,1950 Page Street,District 5,94117,Ernest Ingold Boys and Girls Club,1950 Page Street,94117,415-221-6100,5,Non-profit's owned or leased space (not faith-based),,,X,,,,,,X,X,X,X,,,,,
Boys & Girls Clubs of San Francisco,Excelsior Boys & Girls Club K-8 Afterschool Program,Comprehensive K-8 Community-Based Afterschool,163 London Street,District 11,94112,Excelsior Boys & Girls Club,163 London Street,94112,415-334-2582,11,Non-profit's owned or leased space (not faith-based),,,X,,,,,,X,X,X,X,,,,,
Boys & Girls Clubs of San Francisco,Excelsior Boys & Girls Club K-8 Summer Learning Program,Comprehensive K-8 Summer Learning,163 London Street,District 11,94112,Excelsior Boys & Girls Club,163 London Street,94112,415-334-2582,11,Non-profit's owned or leased space (not faith-based),,,X,,,,,,X,X,X,X,,,,,
Boys & Girls Clubs of San Francisco,Intensive Academic Support Program at June Jordan School for Equity,Specialized Teen,"55 Hawthorne Street, Suite 600",District 6,94105,June Jordan School for Equity,325 La Grande Ave.,94112,(415) 452-4922,11,Public School,"Jordan, June High School (9-12)",,,X,,,,,X,X,X,X,,,,X,Samoan
Boys & Girls Clubs of San Francisco,Mission Boys & Girls Club K-8 Afterschool Program,Comprehensive K-8 Community-Based Afterschool,901 Alabama Street,District 9,94110,Mission Clubhouse,901 Alabama Street,94110,415-400-8900,9,Non-profit's owned or leased space (not faith-based),,,X,,,,,,X,X,X,X,,,,,
Boys & Girls Clubs of San Francisco,Mission Boys & Girls Club K-8 Summer Learning Program,Comprehensive K-8 Summer Learning,901 Alabama Street,District 9,94110,Mission Boys and Girls Club,901 Alabama Street,94110,415-400-8911,9,Non-profit's owned or leased space (not faith-based),,,X,,,,,,X,X,X,X,,,,,
Boys & Girls Clubs of San Francisco,SF TEAM at Sunnydale,SFTEAM_CONT,1654 Sunnydale Ave.,District 10,94134,Sunnydale Boys & Girls Club,1654 Sunnydale Avenue,94134,415-584-5028,10,Public or affordable housing site,,,X,,,,,,X,X,,,,,,,
Boys & Girls Clubs of San Francisco,Sunnydale Boys & Girls Club K-8 Afterschool Program,Comprehensive K-8 Community-Based Afterschool,1654 Sunnydale Ave,District 10,94134,Sunnydale Boys & Girls Club,1654 Sunnydale Avenue,94134,415-584-5028,10,Public or affordable housing site,,,X,,,,,,X,X,,,,,,,
Boys & Girls Clubs of San Francisco,Sunnydale Boys & Girls Club K-8 Summer Learning Program,Comprehensive K-8 Summer Learning,1654 Sunnydale Ave,District 10,94134,Sunnydale Boys and Girls Club,1654 Sunnydale Ave,94124,415-584-5028,10,Public or affordable housing site,,,X,,,,,,X,X,X,X,,,,,
